cod_loc,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,domicilio,piso,cp,cod_area,telefono,mail,web,latitud,longitud,tipo_latitud_longitud,fuente,tipo_gestion,año_actualizacion
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Aldo De Sousa Galería De Arte,Arroyo 858 ,,1007,11,43930803,arroyo@aldodesousa.com.ar,https://aldodesousa.com/,-34.59180500,-58.37929900,localización precisa,AAGA - Buenos Aires data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Alejandro Faggioni, Estudio De Arte",Sargento Cabral 881,5°,1059,11,43939995,alejandrofaggioni@sinectis.com.ar,http://www.alejandrofaggioni.com/,-34.59467850,-58.37965820,localización precisa,Arte On line - Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Arcimboldo, Galería De Arte",Reconquista 761,P.B.,1003,,,pelusaborthwick@gmail.com,https://www.facebook.com/pages/Galeria-Arcimboldo,-34.59900290,-58.37273860,localización precisa,Arte On line - Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Áreatec,Av. de Mayo 1190,1°,1085,11,46546579,rrss@areatec.com.ar,http://www.areatec.com.ar/,-34.60915550,-58.38302770,localización precisa,Arte On line - Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Arroyo ,Arroyo 830 ,,1007,11,43253485,info@galarroyo.com,www.galarroyo.com,-34.59218000,-58.37909600,localización precisa,AAGA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atocha – Club De Grabado Y Obra Gráfica Contemporánea,Batalla del Pari 613,,1416,11,47709384,info@atochagaleria.com.ar,https://www.facebook.com/AtochaGaleria,-34.60014946,-58.45383796,localización precisa,Mercado de Arte - relevamiento SInCa,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,BARRO Arte Contemporáneo,Caboto 531,,1157,11,49783759,galeria@barro.cc,http://www.barro.cc,-34.62874963,-58.35970483,localización precisa,Buenos Aires Data - Relevamiento SINCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Beta  Sur,Caboto 725,,1157,11,50139330,betaorg.sur@gmail.com,https://www.instagram.com/beta.sur/,-34.63024727,-58.35714491,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bolmani Modern Art,Honduras 5550,,1414,,,info@bolmanimodernart.com,https://www.facebook.com/BolmaniMA/,-34.58455055,-58.43589337,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Buenos Aires Fine Art,Cuba 1930,,1428,,,info@buenosairesfinearts.com,https://www.buenosairesfinearts.com/,-34.56234543,-58.45354573,localización precisa,Fondo Desarrollar 2021,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Calvaresi,Defensa 1136,,1065,,,info@calvaresicontemporaneo.com,Facebook: Calvaresi,-34.62114371,-58.37134849,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Camargo 1020 Espacio de Arte ,Camargo 1020,,1414,,,camargo1020espaciodearte@gmail.com,https://www.facebook.com/Camargo1020EspacioDeArte,-34.59601459,-58.44495996,localización precisa ,Fondo Desarrollar 2021,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Camarones Arte Contemporáneo,Camarones 1645,,1416,11,45855738,info@camaronesarte.com,https://www.facebook.com/camaronesarte/,-34.60464000,-58.46484000,localización precisa ,Buenos Aires Data - Relevamiento SINCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Casa Barneau,Pedro de Mendoza 1673,,1169,,,jbarneau2@gmail.com,https://www.instagram.com/casabarneau/,-34.63874000,-58.35805000,localización precisa ,Fondo Desarrollar 2020,Privado,2020
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cefuri Espacio de Arte ,Patagones 2740,,1437,,,info@cefiroarte.com.ar,https://www.facebook.com/cefiroarte,-34.63745264,-58.40067600,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centoira Galería De Arte,French 2611 ,,1425,11,48055603,centoira@artecentoira.com.ar,https://www.facebook.com/ArteCentoira,-34.58967890,-58.40096000,localización precisa,AAGA - Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Centro Newbery, Galería De Arte ",Jorge Newbery 3599,,1427,11,45535723,centralnewbery@gmail.com,http://www.centralnewbery.com.ar/,-34.58358300,-58.44929300,localización precisa,Buenos Aires Data - Relevamiento SINCA 2022,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colección Alvear Zurbarán,Av. Alvear 1658,,1014,,,jzenteno@zurbaran.com.ar,http://www.zurbaran.com.ar/,-34.58947070,-58.38639230,localización precisa,Arte On line - Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Colectivo Periferia ,Wenceslao Villafañe 101,,1160,11, 1559512419,colectivoperiferia.org@gmail.com,https://www.facebook.com/colectivoperiferia/,-34.63044266,-58.35715167,localización precisa,Buenos Aires Data - Relevamiento SINCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Constitución Galería ,Del Valle Iberlucea 1140,,1160,11,38656162,espacioconstitucion@gmail.com,https://www.facebook.com/constituciongaleria/,-34.63823144,-58.36254873,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cosmocosa,Montevideo 1430,P.B.,1021,11,48116808,info@cosmocosa.com,https://www.facebook.com/cosmocosa,-34.59302380,-58.38975670,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cre-Arte Argentina ,Carlos Pellegrinio 877,,1009,,,crearteargentina.rlp@gmail.com,https://www.facebook.com/Cre-Arte-Argentina,-34.59824812,-58.38125543,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Dain, Usina Cultural",Nicaragua 4899,,1414,11,47783554,pedidosdain@gmail.com,https://www.facebook.com/dain.usinacultural/,-34.58597880,-58.42799930,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,De Santi Galería De Arte,Esmeralda 982,,1007,11,43142049,galeria@desanti.com.ar,,-34.59667590,-58.37853100,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Del Infinito Arte,Av. Quintana 325,P.B.,1014,11,48138828,galeria@delinfinito.com,http://www.delinfinito.com/,-34.58975150,-58.38820950,localización precisa,Arte On line,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Del Riachuelo Espacio de Arte,Av. Pedro de Mendoza 1887,,1169,11,43027053,,Facebook: Del Riachuelo. Espacio de Arte.,-34.63929530,-58.36158460,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Mirador,Brasil 301,,1154,,,info@elmiradorespacio.com,http://www.elmiradorespacio.com/,-34.62526860,-58.36973390,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Socorro,Suipacha 1331 ,,1011,11,43270717,,,-34.59244400,-58.37998600,localización precisa,AAGA - Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Sótano Art Gallery,Soler 4802,,1425,,,elsotanoartspace@gmail.com,https://www.instagram.com/sotano.arte/,-34.58595214,-58.42626315,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Elsi Del Río,Dorrego 1940,,1414,11,48990171,info@elsidelrio.com.ar,http://www.elsidelrio.com.ar/,-34.57936634,-58.44152476,localización precisa,Buenos Aires Data - Relevamiento SInCA 2022,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ernesto Catena Fotografía Contemporánea,Honduras 4882,1°,1414,11,48339499,info@ecfotografiacontemporanea.com,https://www.ecfotografiacontemporanea.com/,-34.58960750,-58.42915130,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio 10 Art Gallery ,Guatemala 4757,,1425,11,48310520,info@espacio10arte.com.ar,WWW.ESPACIO10.COM.AR,-34.58582870,-58.42500180,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio Biazzi Zanni,Defensa 763 ,,1065,11,43616809,info@biazzi.com.ar,https://www.facebook.com/espacio.biazzi,-34.61685030,-58.37179320,localización precisa,Relevamiento SInCA 2016,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio Cabutia ,Arenales 1239,PB H,1061,,,contacto@espaciocabutia.com,https://www.facebook.com/espaciocabutia/,-34.59444327,-58.38494511,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio Colegiales,Gral. Enrique Martínez 916,,1426,11,52175826,arte@espaciocolegiales.com.ar,http://www.espaciocolegiales.com.ar/,-34.57698550,-58.45421780,localización precisa,Arte On line,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio De Arte Banco Ciudad,Esmeralda 660,,1007,11,43298532,,www.bancociudad.com.ar,-34.60049100,-58.37842450,localización precisa,AAGA - Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio Ftalo,Gorriti 3864,,1172,,,espacioftalo@hotmail.com,https://www.facebook.com/espacioftalo/,-34.59549210,-58.41927215,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacio Los Vikings,Viamonte 1145,,1053,,,alegrelinares@gmail.com,https://gallery.com.ar/espacio-los-vikings,-34.60031590,-58.38315142,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,F/O Objetos Y Teorías ,Magallanes 802,,1166,11,1558942210,fo.objetosyteorias@gmail.com,https://www.facebook.com/FOobjetosyteorias/,-34.63948959,-58.36182318,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fino 630,Enrique Finochietto 630,,1143,,,espaciofinochietto@gmail.com,https://www.facebook.com/fino630.lacasaverde/,-34.62843094,-58.37389030,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Francisco Traba Galería de Arte ,Marcelo Torcuato de Alvear 819,,1058,11,43118769,galeriaftraba@gmail.com,Facebook: Francisco Traba Galeria de Arte,-34.59605905,-58.37874683,localización precisa,Relevamiento SInCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fundación Federico Jorge Klemm,Marcelo Torcuato de Alvear 626,,1058,11,43123334,info@fundacionfjklemm.org,Facebook: Fundación Federico Jorge Klemm - Oficial,-34.59636780,-58.37606990,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fundación IDA,Jorge Newbery 3044,,1426,,,info@fundacionida.org,https://www.facebook.com/idafundacion/,-34.58862630,-58.45075560,localización precisa,Fondo Desarrollar 2020,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Fundación PROA ,Av. Pedro de Mendoza 1929,,1169,11,41041000,info@proa.org,https://www.facebook.com/FundacionProa/,-34.63962810,-58.36172840,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,"Gachi Prieto Gallery, Contemporary Latin American Art",Uriarte 1373,,1414,11,47746656,info@gachiprieto.com,https://www.facebook.com/gachiprieto/,-34.58887743,-58.43434573,localización precisa,Arte On line - Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería 713 Arte Contemporáneo,Defensa 713,,1098,,,info@arte713.com,,-34.61624570,-58.37174940,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Arte x Arte ,Lavalleja 1062,,1414,,,info@artexarte.com.ar,https://www.facebook.com/artexarteespacio/,-34.59700660,-58.42843360,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Azur,Arenales 867,,1007,,,mensajes@galeriaazur.com,https://www.facebook.com/azurgaleria/,-34.59381731,-58.37953066,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Braque ,Salta 695,,1074,,,info@artebraque.com.ar,http://www.artebraque.com.ar/,-34.61621976,-58.38323786,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Buenos Aires Sur ,Bolívar 1268,,1141,,,,https://www.facebook.com/galeriabuenosairessur/,-34.62278876,-58.37271499,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Cecilia Caballero,Suipacha 1151,,1008,11,43930660,galeriaceciliacaballero@gmail.com,https://www.facebook.com/galeriaceciliacaballero,-34.59443898,-58.37986987,localización precisa,Relevamiento SInCA 2022,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Dabbah Torrejón,El Salvador 5176,,1414,,,info@dabbahtorrejon.com.ar,https://www.facebook.com/Dabbah-Torrej,-34.58636961,-58.43166028,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería de Arte Alejandra Perotti,Zabala 3093,,1427,11,45530923,arteperotti@gmail.com,Facebook: Espacio Alejandra Perotti,-34.57408173,-58.45416493,localización precisa,AAGA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería de Arte Karina Paradiso,Av. del Libertador 4700,,1426,,,,,-34.56578100,-58.43329070,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería De Arte Leonardo Da Vinci ,Libertad 1222,,1012,11,48168641,,,-34.59412260,-58.38447600,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería De Arte Mercedes Giachetti,Defensa 718,,1065,11,43616307,galeriamgiachetti@gmail.com,https://www.facebook.com/galeriadeartemercedesgiachetti,-34.61625480,-58.37163960,localización precisa,Buenos Aires Data - Relevamiento SINCA 2022,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería del Viejo Hotel ,Balcarce 1053,,1064,,,,https://www.instagram.com/galeriadelviejohotel/,-34.62000463,-58.37009023,localización precisa,Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Federico Towpyha,Tucumán 3148,,1189,11,48635893,federicotopia@yahoo.com.ar,https://www.facebook.com/federicotowpyha.artecontemporaneo/,-34.60075560,-58.41000790,localización precisa,Arte On line,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Gráfica Gestual,Arce 730,,1426,11,47790230,galeriagraficagestual@gmail.com,http://galeriagraficagestual.blogspot.com.ar/,-34.56873660,-58.43482150,localización precisa,Arte On line - Buenos Aires Data,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Galería Hache,Loyola 32,,1414,11,48568787,info@hachegaleria.com,https://www.facebook.com/hachegaleria,-34.60045000,-58.43146000,localización precisa,Buenos Aires Data  - Fondo Desarrollar 2021,Privado,2022
